title;price_str;price;url
Відеокарта MSI GeForce GTX 1660 Ti GAMING X 6G;9 000 грн.;9000;https://www.olx.ua/d/obyavlenie/vdeokarta-msi-geforce-gtx-1660-ti-gaming-x-6g-IDPZACy.html?sd=1#36c5ffb542
Asus PCI-Ex GeForce GTX 1060 Expedition OC 6GB GDDR5 (192bit);3 500 грн.Договорная;3500;https://www.olx.ua/d/obyavlenie/asus-pci-ex-geforce-gtx-1060-expedition-oc-6gb-gddr5-192bit-IDPBAyA.html?sd=1#36c5ffb542
Ігрова відеокарта RX570 8Gb XFX;4 800 грн.;4800;https://www.olx.ua/d/obyavlenie/grova-vdeokarta-rx570-8gb-xfx-IDPWZn0.html?sd=1#36c5ffb542
zotac 3060 ti twin edge 8gb new;17 500 грн.;17500;https://www.olx.ua/d/obyavlenie/zotac-3060-ti-twin-edge-8gb-new-IDPRAVx.html?sd=1#36c5ffb542
Palit GeForce GTX 1070 8 ГБ, GDDR5;6 500 грн.;6500;https://www.olx.ua/d/obyavlenie/palit-geforce-gtx-1070-8-gb-gddr5-IDPSjN6.html?sd=1#36c5ffb542
Каркас для майнинг фермы с кулерами и адаптерами;7 500 грн.;7500;https://www.olx.ua/d/obyavlenie/karkas-dlya-mayning-fermy-s-kulerami-i-adapterami-IDNUnaZ.html?sd=1#36c5ffb542
Видеокарта Radeon HD6670 2GB;1 000 грн.;1000;https://www.olx.ua/d/obyavlenie/videokarta-radeon-hd6670-2gb-IDPVoY5.html?sd=1#36c5ffb542
Відеокарта Radeon RX 580  Gigabyte;4 900 грн.;4900;https://www.olx.ua/d/obyavlenie/vdeokarta-radeon-rx-580-gigabyte-IDPSxts.html?sd=1#36c5ffb542
Zotac gtx 1080 ti amp extreme (1080ti);12 300 грн.;12300;https://www.olx.ua/d/obyavlenie/zotac-gtx-1080-ti-amp-extreme-1080ti-IDPZAg7.html?sd=1#36c5ffb542
Продам видеокарту Gigabyte AORUS GeForce GTX 1070 8GB;6 000 грн.;6000;https://www.olx.ua/d/obyavlenie/prodam-videokartu-gigabyte-aorus-geforce-gtx-1070-8gb-IDPZA7U.html?sd=1#36c5ffb542
Asus strix GTX 1060 6gb 5шт;7 000 грн.Договорная;7000;https://www.olx.ua/d/obyavlenie/asus-strix-gtx-1060-6gb-5sht-IDPWRLH.html?sd=1#36c5ffb542
Відеокарта PowerColor Radeon RX 6600 8 GB Fighter;10 999 грн.Договорная;10999;https://www.olx.ua/d/obyavlenie/vdeokarta-powercolor-radeon-rx-6600-8-gb-fighter-IDPZzVg.html?sd=1#36c5ffb542
Видеокарта RTX 2070 Super 8GB;15 000 грн.;15000;https://www.olx.ua/d/obyavlenie/videokarta-rtx-2070-super-8gb-IDPuBv5.html?sd=1#36c5ffb542
видеокарта  AFOX PCI-Ex GeForce GTX 750 4GB GDDR5 (128bit) на гарантии;3 400 грн.;3400;https://www.olx.ua/d/obyavlenie/videokarta-afox-pci-ex-geforce-gtx-750-4gb-gddr5-128bit-na-garantii-IDPZzRU.html?sd=1#36c5ffb542
Nvidia Geforce GTX1660 Super;8 000 грн.;8000;https://www.olx.ua/d/obyavlenie/nvidia-geforce-gtx1660-super-IDPYsj2.html?sd=1#36c5ffb542
