title;price_str;my_price;pic;url
Планшет Samsung Galaxy Tab A7 Lite 8.7 SM-T220 64Gb Wi-Fi в Дніпрі;від 4 940 грн. ;4989.4;https://i4.price.ua/images/model/6399/4749981/2/1/type5/samsung_galaxy_tab_a7_lite_8_7_sm-t220_64gb_wi-fi_6556229.jpg;https://price.ua/ua/samsung/samsung_galaxy_tab_a7_lite_8_7_sm-t220_64gb_wi-fi/catc6399t2m4749981.html
Планшет Samsung Galaxy Tab A7 Lite 8.7 SM-T220 32Gb Wi-Fi в Дніпрі;від 4 275 грн. ;4317.75;https://i4.price.ua/images/model/6399/4749980/2/1/type5/samsung_galaxy_tab_a7_lite_8_7_sm-t220_32gb_wi-fi_6556234.jpg;https://price.ua/ua/samsung/samsung_galaxy_tab_a7_lite_8_7_sm-t220_32gb_wi-fi/catc6399t2m4749980.html
Планшет Blackview Tab 11 в Дніпрі;від 6 161 грн. ;6222.61;https://i4.price.ua/images/model/6399/4872365/2/1/type5/blackview_tab_11_6855944.jpg;https://price.ua/ua/blackview/blackview_tab_11/catc6399t2m4872365.html
Планшет Xiaomi Pad 5 256Gb в Дніпрі;від 10 509 грн. ;10614.09;https://i4.price.ua/images/model/6399/4790313/2/1/type5/xiaomi_pad_5_256gb_6691762.png;https://price.ua/ua/xiaomi/xiaomi_pad_5_256gb/catc6399t2m4790313.html
Планшет Blackview Tab 10 в Дніпрі;від 4 961 грн. ;5010.61;https://i4.price.ua/images/model/6399/4739444/2/1/type5/blackview_tab_10_6555761.jpg;https://price.ua/ua/blackview/blackview_tab_10/catc6399t2m4739444.html
Планшет Apple iPad mini (2021) 64Gb Wi-Fi в Дніпрі;від 18 695 грн. ;18881.95;https://i1.price.ua/images/model/6399/4789739/2/1/type5/apple_ipad_mini_2021_64gb_wi-fi_6658456.jpg;https://price.ua/ua/apple/apple_ipad_mini_2021_64gb_wi-fi/catc6399t2m4789739.html
Планшет Apple iPad Air (2020) 64Gb Wi-Fi + Cellular в Дніпрі;від 24 899 грн. ;25147.99;https://i2.price.ua/images/model/6399/4481584/2/1/type5/apple_ipad_air_2020_64gb_wi-fi_cellular_6226387.jpg;https://price.ua/ua/apple/apple_ipad_air_2020_64gb_wi-fi_cellular/catc6399t2m4481584.html
Планшет Xiaomi MiPad 3 64Gb в Дніпрі;від 6 293 грн. ;6355.93;https://i3.price.ua/images/model/6399/2871666/2/1/type5/xiaomi_mipad_3_64gb_3683753.jpg;https://price.ua/ua/xiaomi/xiaomi_mipad_3_64gb/catc6399t2m2871666.html
Планшет Sigma X-Style Tab A102 в Дніпрі;від 3 897 грн. ;3935.9700000000003;https://i1.price.ua/images/model/6399/2871656/2/1/type5/sigma_x-style_tab_a102_3669995.jpg;https://price.ua/ua/sigma/sigma_x-style_tab_a102/catc6399t2m2871656.html
Планшет Apple iPad (2021) 64Gb Wi-Fi в Дніпрі;від 12 713 грн. ;12840.130000000001;https://i1.price.ua/images/model/6399/4789741/2/1/type5/apple_ipad_2021_64gb_wi-fi_6658418.jpg;https://price.ua/ua/apple/apple_ipad_2021_64gb_wi-fi/catc6399t2m4789741.html
Планшет Blackview Tab 8 в Дніпрі;від 3 849 грн. ;3887.4900000000002;https://i4.price.ua/images/model/6399/4481639/2/1/type5/blackview_tab_8_6226412.png;https://price.ua/ua/blackview/blackview_tab_8/catc6399t2m4481639.html
Планшет Teclast M40 Pro в Дніпрі;від 5 999 грн. ;6058.99;https://i2.price.ua/images/model/6399/4866565/2/1/type5/teclast_m40_pro_6820423.jpg;https://price.ua/ua/teclast/teclast_m40_pro/catc6399t2m4866565.html
Планшет Sigma X-Style Tab A101 в Дніпрі;від 5 775 грн. ;5832.75;https://i2.price.ua/images/model/6399/2352843/2/1/type5/sigma_mobile_x-style_tab_a101_3021520.jpg;https://price.ua/ua/sigma/sigma_mobile_x-style_tab_a101/catc6399t2m2352843.html
